slug,title,correct?,soc_code,matched_label,match_score,review_required,api_match_method,api_score,api_soc_code,api_soc_title,llm_soc_code,llm_confidence,llm_review_required,llm_reason,top2_label,top2_score,top3_label,top3_score,suggested_soc_code,suggested_soc_title,suggested_confidence,suggested_reason,suggested_alt1_code,suggested_alt1_title,suggested_alt2_code,suggested_alt2_title
water-network-operative,Water network operative,,2132,IT managers,78.9,yes,api_ranked_manual_pass,78.9,2132,IT managers,,,,,IT network professionals,78.3,Water and sewerage plant operatives,75,2132,IT managers,78.9,Title/alias similarity,2137,IT network professionals,9252,Warehouse operatives
montessori-teacher,Montessori teacher,,2319,Teaching professionals n.e.c.,81.8,yes,api_ranked_manual_pass,81.8,2319,Teaching professionals n.e.c.,,,,,Butchers,72.7,Teaching assistants,66.7,2319,Teaching professionals n.e.c.,81.8,Title/alias similarity,2314,Primary education teaching professionals,2313,Secondary education teaching professionals
